name,slug
Завтрак,breakfast
Обед,lunch
Ужин,dinner
Перекус,snack
Десерт,dessert
Выпечка,bakery
Суп,soup
Салат,salad
Основное блюдо,main-course
Гарнир,side-dish
Напитки,drinks
Смузи,smoothie
Быстрое,quick
ПП,healthy
Вегетарианское,vegetarian
Веганское,vegan
Без глютена,gluten-free
Без сахара,sugar-free
Низкокалорийное,low-calorie
Праздничное,holiday
Детское,for-kids
Острое,spicy
На гриле,grill
Запечённое,baked
Жареное,fried
Варёное,boiled
На пару,steamed
Итальянская кухня,italian
Азиатская кухня,asian
Домашнее,homemade
